Title;ISSN;Categories;Top Level;Primary Level;Secondary Level;Preassigned
Contributions to Plasma Physics;15213986;Condensed Matter Physics 2;Physical Sciences and Engineering;Physics and Astronomy;Condensed Matter Physics;
Control;10495541;"Control and Systems Engineering 4; Electrical and Electronic Engineering 4";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Control and Instrumentation;108022;Control and Systems Engineering 4;Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Control and Cybernetics;3248569;"Applied Mathematics 4; Control and Systems Engineering 4; Modeling and Simulation 4";Physical Sciences and Engineering;NA;NA;
Control Engineering;108049;"Control and Systems Engineering 4; Electrical and Electronic Engineering 4";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Control Engineering Practice;9670661;"Applied Mathematics;Computer Science Applications;Control and Systems Engineering;Electrical and Electronic Engineering ";Physical Sciences and Engineering;Engineering;Aerospace Engineering;Yes
Control Engineering and Applied Informatics;14548658;"Computer Science 3; Electrical and Electronic Engineering 3";Physical Sciences and Engineering;NA;NA;
Converter;108189;"Chemical Engineering 4; Industrial and Manufacturing Engineering 4; Materials Science 4";Physical Sciences and Engineering;Chemical Engineering;Process Chemistry and Technology;
Control Theory and Technology;20956983;"Aerospace Engineering 2; Control and Optimization 2; Control and Systems Engineering 2";Physical Sciences and Engineering;NA;NA;
Convergence;17487382;"Arts and Humanities;Communication ";Physical Sciences and Engineering;NA;NA;
Converting Today;0264715X;Industrial and Manufacturing Engineering 4;Physical Sciences and Engineering;Engineering;Industrial and Manufacturing Engineering;
Coordination Chemistry Reviews;108545;"Inorganic Chemistry;Materials Chemistry;Physical and Theoretical Chemistry ";Physical Sciences and Engineering;Chemistry;Inorganic Chemistry;Yes
Corrosion;109312;"Chemical Engineering;Chemistry;Materials Science 2";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Corrosion and Protection;1005748X;"Chemical Engineering 4; Chemistry 4; Materials Science 4";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Corrosion and Materials;13261932;"Chemistry 4; Materials Science 4";Physical Sciences and Engineering;NA;NA;
Corrosion Engineering;109355;"Engineering 4; Materials Science 4";Physical Sciences and Engineering;Engineering;Engineering (General);
Corrosion Engineering Science and Technology;1478422X;"Chemical Engineering 2; Chemistry 2; Materials Science 2";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Corrosion Management;13555243;"Chemical Engineering 4; Chemistry 4; Materials Science 4";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Corrosion Prevention and Control;109371;Metals and Alloys 4;Physical Sciences and Engineering;Materials Science;Metals and Alloys;
Corrosion Reviews;3346005;"Chemical Engineering 2; Chemistry 2; Materials Science 2";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Corrosion Science;0010938X;"Chemical Engineering;Chemistry;Materials Science ";Physical Sciences and Engineering;Materials Science;Ceramics and Composites;Yes
Corrosion Science and Protection Technology;10026495;"Chemical Engineering 3; Chemistry 4; Materials Science 4";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Coupled Systems Mechanics;22342184;"Civil and Structural Engineering 3; Mechanics of Materials 3";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
Corrosion Science and Technology;15986462;"Electrochemistry; Materials Chemistry; Metals and Alloys; Surfaces, Coatings and Films";Physical Sciences and Engineering;NA;NA;
Cosmic Research;109525;"Aerospace Engineering 3; Astronomy and Astrophysics 3; Space and Planetary Science 4";Physical Sciences and Engineering;NA;NA;
CPP 2016 - Proceedings of the 5th ACM SIGPLAN Conference on Certified Programs and Proofs, co-located with POPL 2016;-;"Hardware and Architecture; Signal Processing; Software";Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
Cours specialises;12846090;"Education;Mathematics ";Physical Sciences and Engineering;NA;NA;
CPP 2017 - Proceedings of the 6th ACM SIGPLAN Conference on Certified Programs and Proofs, co-located with POPL 2017;-;"Computer Networks and Communications; Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Cretaceous Research;1095998X;Paleontology ;Physical Sciences and Engineering;Earth and Planetary Sciences;Palaeontology;
CPS-SPC 2016 - Proceedings of the 2nd ACM Workshop on Cyber-Physical Systems Security and PrivaCy, co-located with CCS 2016;-;"Architecture; Building and Construction; Civil and Structural Engineering; Safety Research";Physical Sciences and Engineering;NA;NA;
CPSS 2016 - Proceedings of the 2nd ACM International Workshop on Cyber-Physical System Security, Co-located with Asia CCS 2016;-;"Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
Critical Reviews in Analytical Chemistry;15476510;Analytical Chemistry ;Physical Sciences and Engineering;Chemistry;Analytical Chemistry;
Croatica Chemica Acta;1334417X;Chemistry 3;Physical Sciences and Engineering;Chemistry;Chemistry (General);
Critical Reviews in Solid State and Materials Sciences;15476561;"Chemical Engineering;Condensed Matter Physics;Electrical and Electronic Engineering;Electronic, Optical and Magnetic Materials;Physical and Theoretical Chemistry ";Physical Sciences and Engineering;NA;NA;
Croatian Operational Research Review;18480225;"Applied Mathematics 4; Economics and Econometrics 4; Management Science and Operations Research 4; Statistics and Probability 4; Statistics, Probability and Uncertainty 4";Physical Sciences and Engineering;NA;NA;
CrossCloud 2017 - 4th Workshop on CrossCloud Infrastructures and Platforms, Colocated with EuroSys 2017;-;"Instrumentation; Signal Processing";Physical Sciences and Engineering;Physics and Astronomy;Instrumentation;
CrossTalk;21601593;"Human-Computer Interaction 4; Software 4";Physical Sciences and Engineering;Computer Science;Human-Computer Interaction;
Cryogenics;112275;"Materials Science 2; Physics and Astronomy 2";Physical Sciences and Engineering;Materials Science;Electronic, Optical and Magnetic Materials;Yes
CSCW 2017 - Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing;-;Software;Physical Sciences and Engineering;Computer Science;Software;
Cryptography and Communications;19362447;"Computational Theory and Mathematics;Computer Networks and Communications;Applied Mathematics 2";Physical Sciences and Engineering;NA;NA;
Cryptology and Information Security Series;18798101;"Electrical and Electronic Engineering 3; Computer Science Applications 4; Information Systems 4";Physical Sciences and Engineering;NA;NA;
Crystal Growth and Design;15287505;"Chemistry;Condensed Matter Physics;Materials Science ";Physical Sciences and Engineering;NA;NA;
Crystal Research and Technology;15214079;"Chemistry 2; Materials Science 2; Condensed Matter Physics 3";Physical Sciences and Engineering;NA;NA;
Crystallography Reports;10637745;"Chemistry 3; Condensed Matter Physics 3; Materials Science 3";Physical Sciences and Engineering;NA;NA;
Crystals;20734352;"Chemical Engineering 2; Condensed Matter Physics 2; Inorganic Chemistry 2; Materials Science 2";Physical Sciences and Engineering;NA;NA;
CrystEngComm;14668033;"Chemistry;Condensed Matter Physics;Materials Science ";Physical Sciences and Engineering;NA;NA;
CS MANTECH 2016 - International Conference on Compound Semiconductor Manufacturing Technology;-;"Artificial Intelligence; Computer Networks and Communications; Energy Engineering and Power Technology; Modeling and Simulation";Physical Sciences and Engineering;NA;NA;
CT y F - Ciencia, Tecnologia y Futuro;1225383;Energy 3;Physical Sciences and Engineering;Energy;Energy (General);
CSEDU 2016 - Proceedings of the 8th International Conference on Computer Supported Education;-;"Computer Networks and Communications; Electrical and Electronic Engineering; Instrumentation; Radiation";Physical Sciences and Engineering;NA;NA;
Cuadernos de Prehistoria y Arqueologia de la Universidad Autonoma de Madrid;2111608;"History 2; Archeology 3; Archeology arts and humanities 3";Physical Sciences and Engineering;Archeologyartshumanities History;Archeologyartshumanities;
CTBUH Journal;19461194;"Architecture 2; Building and Construction 3; Urban Studies 3";Physical Sciences and Engineering;NA;NA;
Cuadernos de Economia (Colombia);22484337;"Arts and Humanities 3; Social Sciences 3; Economics, Econometrics and Finance 4";Physical Sciences and Engineering;NA;NA;
Current Analytical Chemistry;15734110;Analytical Chemistry 3;Physical Sciences and Engineering;Chemistry;Analytical Chemistry;
Current Applied Physics;15671739;"Materials Science 2; Physics and Astronomy 2";Physical Sciences and Engineering;Physics and Astronomy;Condensed Matter Physics;Yes
Current Chemistry Letters;1927730X;Chemistry 4;Physical Sciences and Engineering;Chemistry;Chemistry (General);
Current Applied Science and Technology;25869396;"Agricultural and Biological Sciences 4; Agronomy and Crop Science 4; Biotechnology 4; Environmental Engineering 4";Physical Sciences and Engineering;NA;NA;
Current Materials Science;26661462;Materials Science;Physical Sciences and Engineering;Materials Science;Materials Science (General);
Current Opinion in Chemical Engineering;22113398;Energy ;Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);Yes
Current Opinion in Colloid and Interface Science;13590294;"Colloid and Surface Chemistry;Physical and Theoretical Chemistry;Polymers and Plastics;Surfaces and Interfaces ";Physical Sciences and Engineering;Chemical Engineering;Colloid and Surface Chemistry;Yes
